blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,latitude,longitude,polygon
101,PUNGGOL FIELD,4,2001,N,N,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,101 PUNGGOL FIELD,1.39848166105504,103.905808105789,PUNGGOL FIELD
101,RIVERVALE WALK,17,1998,Y,N,N,Y,N,N,SK,131,0,0,0,56,75,0,0,0,0,0,0,0,101 RIVERVALE WALK,1.38276428893595,103.899272035914,RIVERVALE
101,SERANGOON NTH AVE 1,13,1984,Y,N,N,N,N,N,SGN,144,0,0,0,144,0,0,0,0,0,0,0,0,101 SERANGOON NTH AVE 1,1.37103631988089,103.870360910842,SERANGOON GARDEN
101,SIMEI ST 1,11,1988,Y,N,N,Y,N,N,TAP,140,0,0,0,88,52,0,0,0,0,0,0,0,101 SIMEI ST 1,1.34084991073361,103.951433717517,SIMEI
101,SPOTTISWOODE PK RD,20,1973,Y,N,N,N,N,N,BM,76,0,0,0,76,0,0,0,0,0,0,0,0,101 SPOTTISWOODE PK RD,1.27524141291212,103.836045808088,EVERTON PARK
101,TAMPINES ST 11,11,1981,Y,N,N,Y,N,N,TAP,120,0,0,80,40,0,0,0,0,0,0,0,0,101 TAMPINES ST 11,1.34739870794535,103.945292359327,TAMPINES EAST
101,TECK WHYE LANE,13,1988,Y,N,N,N,N,N,CCK,66,0,0,0,0,0,66,0,0,0,0,0,0,101 TECK WHYE LANE,1.37788964623982,103.754239909547,TECK WHYE
101,TOWNER RD,4,1982,Y,Y,N,N,N,N,KWN,44,0,0,44,0,0,0,0,0,0,0,0,0,101 TOWNER RD,1.31942539040726,103.861087462608,BENDEMEER
101,WHAMPOA DR,25,1973,Y,Y,N,N,N,N,KWN,96,0,0,0,96,0,0,0,0,0,0,0,0,101 WHAMPOA DR,1.32041710187602,103.853813946402,BALESTIER
101,WOODLANDS ST 13,10,1984,Y,N,N,Y,N,N,WL,146,0,0,89,55,2,0,0,0,0,0,0,0,101 WOODLANDS ST 13,1.43598159724925,103.781929846478,WOODLANDS WEST
101,YISHUN AVE 5,4,1977,Y,Y,N,N,N,N,YS,107,0,0,94,12,1,0,0,0,0,0,0,0,101 YISHUN AVE 5,1.43051436432607,103.827650762432,YISHUN WEST
101A,BIDADARI PK DR,16,2020,Y,N,N,N,N,N,TP,295,0,86,91,118,0,0,0,0,0,0,0,0,101A BIDADARI PK DR,1.33685462167621,103.870996313693,SENNETT
101A,CANBERRA ST,15,2019,Y,N,N,N,N,N,SB,164,0,0,0,84,80,0,0,0,0,0,0,0,101A CANBERRA ST,1.45173892803325,103.83045410628,SEMBAWANG EAST
101A,LOR 2 TOA PAYOH,17,1992,Y,N,N,N,N,N,TP,64,0,0,0,0,0,64,0,0,0,0,0,0,101A LOR 2 TOA PAYOH,1.33974126719163,103.847264187382,BRADDELL
101A,PUNGGOL FIELD,16,2001,Y,N,N,N,N,N,PG,82,0,0,0,26,56,0,0,0,0,0,0,0,101A PUNGGOL FIELD,1.3979461677694,103.905945136259,PUNGGOL FIELD
101A,YISHUN AVE 5,1,1984,N,Y,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,101A YISHUN AVE 5,1.43113228990206,103.828367142634,YISHUN WEST
101B,CANBERRA ST,16,2019,Y,N,N,N,N,N,SB,240,0,150,30,60,0,0,0,0,0,0,0,0,101B CANBERRA ST,1.45166310353079,103.831174909166,SEMBAWANG EAST
